Equipos,Ingresos,Gastos,Balance Total,I.E
CSD Colo Colo,500.000,920.000,-420.000,€
Unión Española,3.420.000,450.000,2.970.000,€
CD Universidad Católica,3.280.000,0,3.280.000,€
Deportes La Serena,0,0,0,€
Audax Italiano,0,0,0,€
CD Palestino,0,0,0,€
CD Everton,0,0,0,€
Coquimbo Unido,0,0,0,€
CD Ñublense,0,0,0,€
Club de Deportes Antofagasta,0,0,0,€
CD Cobresal,0,0,0,€
Unión La Calera,0,0,0,€
