Equipos,Ingresos,Gastos,Balance Total,I.E
Universidad de Chile,150.000,3.670.000,-3.520.000,€
CSD Colo Colo,7.690.000,3.050.000,4.640.000,€
CD Universidad Católica,0,1.320.000,-1.320.000,€
Club Deportivo Huachipato,5.610.000,1.000.000,4.610.000,€
Club de Deportes Antofagasta,440.000,484.000,-44.000,€
Universidad Concepción,200.000,540.000,340.000,€
Unión Española,1.940.000,0,1.940.000,€
Audax Italiano,447.000,0,447.000,€
CD Palestino,0,0,0,€
CD Everton,0,0,0,€
Coquimbo Unido,45.000,0,45.000,€
CD O'Higgins,435.000,0,435.000,€
CD Cobresal,0,0,0,€
Club Deportes Iquique,345.000,0,345.000,€
CDP Curicó Unido,0,0,0,€
Unión La Calera,0,0,0,€
