Equipos,Ingresos,Gastos,Balance Total,I.E
CD Universidad Católica,1.000.000,465.000,1.100.000,€
CSD Colo Colo,250.000,0,250.000,€
Unión Española,1.100.000,0,1.100.000,€
Deportes La Serena,0,0,0,€
Audax Italiano,0,0,0,€
CD Palestino,0,0,0,€
CD Everton,0,0,0,€
Coquimbo Unido,0,0,0,€
CD Ñublense,0,0,0,€
Club de Deportes Antofagasta,295.000,0,295.000,€
CD Cobresal,0,0,0,€
Unión La Calera,950.000,0,950.000,€
