Equipos,Ingresos,Gastos,Balance Total,I.E
CSD Colo Colo,4.000.000,2.000.000,2.000.000,€
CD Universidad Católica,4.200.000,0,4.200.000,€
Unión Española,1.450.000,0,1.450.000,€
Deportes La Serena,0,0,0,€
Audax Italiano,2.000.000,0,2.000.000,€
CD Palestino,0,0,0,€
CD Everton,0,0,0,€
Coquimbo Unido,0,0,0,€
CD Ñublense,0,0,0,€
Club de Deportes Antofagasta,0,0,0,€
CD Cobresal,0,0,0,€
Unión La Calera,0,0,0,€
