Equipos,Ingresos,Gastos,Balance Total,I.E
CD Universidad Católica,3.050.000,3.050.000,5.000,€
Universidad de Chile,1.590.000,1.270.000,318.000,€
CSD Colo Colo,1.100.000,0,-1.100.000,€
Club de Deportes Antofagasta,682.000,350.000,332.000,€
Unión La Calera,455.000,182.000,273.000,€
Santiago Wanderers,0,0,0,€
Unión Española,0,0,0,€
Deportes La Serena,0,0,0,€
Audax Italiano,0,0,0,€
Club Deportivo Huachipato,0,0,0,€
CD Palestino,0,0,0,€
CD Everton,350.000,0,350.000,€
CD O'Higgins,0,0,0,€
Deportes Melipilla,0,0,0,€
CD Ñublense,0,0,0,€
CD Cobresal,727.000,0,727.000,€
CDP Curicó Unido,245.000,0,245.000,€
