Equipos,Ingresos,Gastos,Balance Total,I.E
Universidad de Chile,3.750.000,3.020.000,728.000,€
Club Deportivo Huachipato,3.540.000,2.100.000,1.430.000,€
CD Universidad Católica,2.500.000,1.250.000,1.250.000,€
CSD Colo Colo,728.000,790.000,-62.000,€
CD O'Higgins,799.000,492.000,307.000,€
Universidad Concepción,1.000.000,56.000,944.000,€
Unión Española,2.250.000,0,2.250.000,€
Audax Italiano,1.530.000,0,1.530.000,€
CD Palestino,438.000,0,438.000,€
CD Everton,0,0,0,€
Deportes Temuco,0,0,0,€
Club de Deportes Antofagasta,727.000,0,727.000,€
Club Deportes Iquique,965.000,0,965.000,€
CDP Curicó Unido,0,0,0,€
CD San Luis de Quillota,255.000,0,255.000,€
Unión La Calera,0,0,0,€
