Equipos,Ingresos,Gastos,Balance Total,I.E
CD Universidad Católica,4.400.000,160.000,4.240.000,€
CSD Colo Colo,1.650.000,105.000,1.550.000,€
Unión Española,1.200.000,0,1.200.000,€
Deportes La Serena,0,0,0,€
Audax Italiano,500.000,0,500.000,€
CD Palestino,0,0,0,€
CD Everton,0,0,0,€
Coquimbo Unido,0,0,0,€
CD Ñublense,40.000,0,40.000,€
Club de Deportes Antofagasta,0,0,0,€
CD Cobresal,0,0,0,€
Unión La Calera,0,0,0,€
