Equipo,Estadio,Año,Capacidad,Espectadores,Promedio,Partidos,Porcentaje asistencia
Universidad de Chile,Estadio Nacional,2019,48665,313435,26120,12,53.7
Colo-colo,Estadio Monumental,2019,47347,323613,24893,13,52.6
Universdad Católica,San Carlos de Apoquindo,2019,14768,112567,10233,11,69.3
Unión Española,Santa Laura,2019,19887,50168,3859,13,19.4
O'Higgins,El Teniente,2019,14450,65018,5418,12,37.5
Palestino,Estadio Municipal de La Cisterna,2019,12000,25528,2127,12,17.7
Audax Italiano,Estadio Bicentenario,2019,12000,37076,3090,12,25.8	
Universdad de Concepción,Estadio Ester Roa Rebolledo,2019,30448,52414,4368,12,14.4
Huachipato,Estadio Huachipato-CAP Acero,2019,11000,29484,2457,12,22.3 	   
