Equipo,Estadio,Año,Capacidad,Espectadores,Promedio,Partidos,Porcentaje asistencia
Universidad de Chile,El Teniente,2020,14450,49728,12432,4,99.7
Colo-Colo,Estadio Monumental,2020,47347,51833,17278,3,36.5
Universidad Católica,San Carlos de Apoquindo,2020,14768,17351,8676,2,58.8
Unión Española,Santa Laura,2020,19887,12971,2594,5,13
O'Higgins,El Teniente,2020,14450,15258,3815,4,26.4
Palestino,Estadio Municipal de La Cisterna,2020,12000,2878,959,3,8
Audax Italiano,Estadio Bicentenario,2020,12000,4555,1139,4,7.9	
Universidad de Concepción,Estadio Ester Roa Rebolledo,2020,30448,3494,1165,3,3.8
Huachipato,Estadio Huachipato-CAP Acero,2020,11000,9275,2319,4,21.1 	   
